"","Country","Year","growth","ratio"
"333","Austria",1991,3.59675495876637,46.6508765564782
"334","Austria",1992,2.36143295741207,46.7494990499783
"335","Austria",1993,0.333181736954802,50.591228951998
"336","Austria",1994,2.66091098158647,53.3303395006287
"337","Austria",1995,1.9099047885538,55.8698378700326
"338","Austria",1996,2.61911893401643,56.3491534832084
"339","Austria",1997,1.83950112453499,58.4586875953782
"340","Austria",1998,3.59049751920215,58.4765078516749
"341","Austria",1999,3.29256580997628,59.5891483440163
"342","Austria",2000,3.36678775937442,58.1634373991105
"343","Austria",2001,0.813686129212887,57.1357982861096
"344","Austria",2002,0.892793836118266,56.6388543646732
"345","Austria",2003,1.17595385201019,56.8190163993157
"346","Austria",2004,2.33383305453134,58.2308769578404
"347","Austria",2005,2.07358805396081,58.0204035552271
